"ACTV_COUNT","DS_NAME","DT_WID","ROW_WID","YR_MTH","ACCNT_NAME","LEGACY_ACC","WU_EMAIL","USER_NAME","WU_LOGIN_ID"
1,"UNI",20181112,6368150159,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181112,6476237021,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181113,6368149549,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181113,6476251238,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
4,"UNI",20181114,6368558363,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"CHB",20181114,6475916791,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181115,6368930330,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181115,6369538517,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181115,6475798450,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20181119,6369823845,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181119,6476334230,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"UNI",20181120,6369824295,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181120,6370215595,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181120,6475829185,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181120,6476265119,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181121,6370597687,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181121,6475834166,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
5,"UNI",20181122,6370952111,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
4,"CHB",20181122,6475789953,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"UNI",20181123,6371215166,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"CHB",20181123,6371575850,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"CHB",20181123,6475870298,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20181126,6371892352,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181126,6475771145,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181127,6372275854,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181127,6475938865,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20181128,6372645742,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181128,6373495631,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181128,6476181196,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181129,6373497267,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20181129,6373500192,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181129,6476244105,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181203,6373732263,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181203,6476287150,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20181205,6374495128,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181205,6475763153,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181207,6375226644,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181207,6375376683,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181207,6476305222,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20181210,6375474804,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181210,6476302820,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"UNI",20181211,6375976102,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"CHB",20181211,6476323245,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181212,6376346173,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181212,6476124219,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181213,6376710371,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181213,6377081045,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181213,6475712284,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"UNI",20181219,6377866975,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"CHB",20181219,6475906478,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20181221,6379142528,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181221,6379144921,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181221,6476268177,"2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
